eeschema (20100311 SVN-R2445)-RC5  >> Creation date: Fri 12 Mar 2010 11:31:16 AM EST

#Cmp ( order = Reference ) (with SubCmp)
| 1M           R43          (Sheet /Wiznet Networking/)   (loc E5); SM0805      
| 1M           R54          (Sheet /USB Interface/)   (loc B2); SM0805      
| 1M 1%        R66          (Sheet /Power Supply/)   (loc B2); SM0805      
| 1nF          C43          (Sheet /Power Supply/)   (loc C2); SM0805      
| 1SS181(SC-59) D13          (Sheet /Wiznet Networking/)   (loc A5);             
| 1SS181(SC-59) D14          (Sheet /Wiznet Networking/)   (loc A5);             
| 1uH          L2           (Sheet /Wiznet Networking/)   (loc B7);             
| 1uH          L3           (Sheet /Wiznet Networking/)   (loc C7);             
| 1uH          L4           (Sheet /Wiznet Networking/)   (loc A8);             
| 1uH          L5           (Sheet /Power Supply/)   (loc B3);             
| 2.6k         R17          (Sheet /)   (loc G6); SM0805      
| 200          R46          (Sheet /Wiznet Networking/)   (loc C5); SM0805      
| 200          R47          (Sheet /Wiznet Networking/)   (loc C6); SM0805      
| 20pF         C5           (Sheet /)   (loc E1); SM0805      
| 20pF         C6           (Sheet /)   (loc E1); SM0805      
| 220pF        C39          (Sheet /Power Supply/)   (loc B2); SM0805      
| 25MHz        X4           (Sheet /Wiznet Networking/)   (loc E5);             
| 270          R68          (Sheet /FTDI USB UART/)   (loc B4); SM0805      
| 270          R69          (Sheet /FTDI USB UART/)   (loc B4); SM0805      
| 3.3uF_Tant   C23          (Sheet /Wiznet Networking/)   (loc B7); SM1210L     
| 300          R40          (Sheet /Wiznet Networking/)   (loc A4); SM0805      
| 32.768KHz    X2           (Sheet /)   (loc E2);             
| 330          R48          (Sheet /Wiznet Networking/)   (loc B6); SM0805      
| 330          R49          (Sheet /Wiznet Networking/)   (loc B6); SM0805      
| 330          R50          (Sheet /Wiznet Networking/)   (loc B6); SM0805      
| 330          R51          (Sheet /Wiznet Networking/)   (loc B6); SM0805      
| 330          R52          (Sheet /Wiznet Networking/)   (loc B6); SM0805      
| 34.8k 1%     R65          (Sheet /Power Supply/)   (loc C2); SM0805      
| 36k          R56          (Sheet /USB Interface/)   (loc B3); SM0805      
| 390          R6           (Sheet /)   (loc E1); SM0805      
| 4.7k         R16          (Sheet /)   (loc G6); SM0805      
| 4.7K         R53          (Sheet /Wiznet Networking/)   (loc A6); SM0805      
| 4.7nF        C35          (Sheet /USB Interface/)   (loc B2); SM0805      
| 47           R4           (Sheet /)   (loc D1); SM0805      
| 47K          R24          (Sheet /)   (loc E9); SM0805      
| 47K          R25          (Sheet /)   (loc E9); SM0805      
| 47K          R32          (Sheet /)   (loc E9); SM0805      
| 47K          R34          (Sheet /)   (loc E9); SM0805      
| 47K          R36          (Sheet /)   (loc E10); SM0805      
| 47k          R58          (Sheet /USB Interface/)   (loc B3); SM0805      
| 47pF         C40          (Sheet /Power Supply/)   (loc B2); SM0805      
| 49.9         R41          (Sheet /Wiznet Networking/)   (loc C5); SM0805      
| 49.9         R42          (Sheet /Wiznet Networking/)   (loc D5); SM0805      
| 49.9         R44          (Sheet /Wiznet Networking/)   (loc C5); SM0805      
| 49.9         R45          (Sheet /Wiznet Networking/)   (loc D5); SM0805      
| 5pF          C41          (Sheet /Power Supply/)   (loc C2); SM0805      
| 5pF          C42          (Sheet /Power Supply/)   (loc B2); SM0805      
| 690?         R12          (Sheet /)   (loc C9); SM0805      
| 690?         R13          (Sheet /)   (loc C9); SM0805      
| 690?         R14          (Sheet /)   (loc C9); SM0805      
| 690?         R15          (Sheet /)   (loc C9); SM0805      
| 8-16MHz      X1           (Sheet /)   (loc E1);             
| ?            R20          (Sheet /)   (loc G4); SM0805      
| ARDUINOSHIELD X3           (Sheet /)   (loc H7);             
| BEAD         L1           (Sheet /)   (loc D1);             
| C            C36          (Sheet /USB Interface/)   (loc A3); SM0805      
| C            C50          (Sheet /FTDI USB UART/)   (loc B2); SM0805      
| C            C51          (Sheet /FTDI USB UART/)   (loc B2); SM0805      
| CONN_10X2    P2           (Sheet /)   (loc G1); PIN_ARRAY_10X2
| CONN_10X2    P3           (Sheet /)   (loc G1); PIN_ARRAY_10X2
| CONN_10X2    P4           (Sheet /)   (loc H1); PIN_ARRAY_10X2
| CONN_10X2    P5           (Sheet /)   (loc G2); PIN_ARRAY_10X2
| CONN_10X2    P6           (Sheet /)   (loc G2); PIN_ARRAY_10X2
| CONN_10X2    P7           (Sheet /)   (loc H2); PIN_ARRAY_10X2
| CONN_10X2    P8           (Sheet /)   (loc G3); PIN_ARRAY_10X2
| CONN_10X2    P11          (Sheet /)   (loc H5); PIN_ARRAY_10X2
| CONN_3       JP1          (Sheet /)   (loc C1); PIN_ARRAY_3X1
| CONN_3       JP2          (Sheet /)   (loc C3); PIN_ARRAY_3X1
| CONN_3       JP3          (Sheet /)   (loc D2); PIN_ARRAY_3X1
| CONN_4       P10          (Sheet /)   (loc G8); PIN_ARRAY_4x1
| CONN_7       P9           (Sheet /)   (loc G8); PIN_ARRAY_7X1
| DIODESCH     D1           (Sheet /)   (loc A2);             
| DIODESCH     D2           (Sheet /)   (loc A2);             
| DIODESCH     D3           (Sheet /)   (loc A2);             
| DIODESCH     D15          (Sheet /Power Supply/)   (loc B3);             
| DIODESCH     D16          (Sheet /Power Supply/)   (loc C3);             
| DIPS_03      SW4          (Sheet /Wiznet Networking/)   (loc D7);             
| EMA406GPS    U4           (Sheet /)   (loc G7); EM406       
