"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"JP9","SIP2","2800mil","3250mil","2800mil","3300mil","2800mil","3300mil","T","270.00",""
"L1","0603L","2577.5mil","3975mil","2550mil","3975mil","2550mil","3975mil","T","180.00","BEAD"
"LD1","0603D","2200mil","575mil","2200mil","575mil","2200mil","602.5mil","T","90.00","Green"
"LD2","0603D","2075mil","575mil","2075mil","575mil","2075mil","602.5mil","T","90.00","Orange"
"LD3","0603D","1950mil","575mil","1950mil","575mil","1950mil","602.5mil","T","90.00","Red"
"LD4","0603D","1825mil","575mil","1825mil","575mil","1825mil","602.5mil","T","90.00","Blue"
"LD5","0603D","3900mil","4150mil","3900mil","4150mil","3927.5mil","4150mil","T","360.00","Red"
"LD6","0603D","3900mil","4050mil","3900mil","4050mil","3927.5mil","4050mil","T","360.00","Green"
"LD7","0603D","950mil","2975mil","950mil","2975mil","950mil","2947.5mil","T","270.00","red"
"R1","0603R","2925mil","5175mil","2925mil","5175mil","2925mil","5147.5mil","T","270.00","2K2"
"R100","0603R","2900mil","1100mil","2900mil","1100mil","2900mil","1072.5mil","T","270.00","0"
"R101","0603R","2800mil","1100mil","2800mil","1100mil","2800mil","1072.5mil","T","270.00","0"
"R102","0603R","3200mil","1100mil","3200mil","1100mil","3200mil","1072.5mil","T","270.00","0"
"R103","0603R","2925mil","4725mil","2925mil","4725mil","2897.5mil","4725mil","T","180.00","0"
"R104","0603R","2575mil","2950mil","2575mil","2950mil","2575mil","2922.5mil","T","270.00","0"
"R105","0603R","2500mil","2950mil","2500mil","2950mil","2500mil","2922.5mil","T","270.00","0"
"R106","0603R","2875mil","1725mil","2875mil","1725mil","2875mil","1752.5mil","T","90.00","10K"
"R107","0603R","2150mil","1475mil","2150mil","1475mil","2150mil","1502.5mil","T","90.00","10K"
"R108","0603R","3300mil","775mil","3300mil","775mil","3300mil","802.5mil","T","90.00","100"
"R109","0603R","2500mil","925mil","2500mil","925mil","2500mil","952.5mil","T","90.00","100"
"R110","0603R","2700mil","775mil","2700mil","775mil","2700mil","747.5mil","T","270.00","100"
"R111","0603R","2300mil","925mil","2300mil","925mil","2300mil","952.5mil","T","90.00","100"
"R112","0603R","1325mil","6125mil","1325mil","6125mil","1297.5mil","6125mil","T","180.00","50"
"R113","0603R","675mil","6125mil","675mil","6125mil","647.5mil","6125mil","T","180.00","50"
"R114","0603R","2700mil","925mil","2700mil","925mil","2700mil","952.5mil","T","90.00","4K7"
"R115","0603R","2400mil","775mil","2400mil","775mil","2400mil","747.5mil","T","270.00","4K7"
"R116","0603R","2400mil","925mil","2400mil","925mil","2400mil","897.5mil","T","270.00","330"
"R117","0603R","2500mil","775mil","2500mil","775mil","2500mil","747.5mil","T","270.00","220K"
"R118","0603R","3600mil","2875mil","3600mil","2875mil","3572.5mil","2875mil","T","180.00","[N/A]"
"R119","0603R","3450mil","3075mil","3450mil","3075mil","3477.5mil","3075mil","T","360.00","[N/A]"
"R120","0603R","3600mil","3075mil","3600mil","3075mil","3572.5mil","3075mil","T","180.00","[N/A]"
"R121","0603R","3600mil","3375mil","3600mil","3375mil","3627.5mil","3375mil","T","360.00","10K"
"R122","0603R","3600mil","3175mil","3600mil","3175mil","3627.5mil","3175mil","T","360.00","10K"
"R123","0603R","3600mil","3275mil","3600mil","3275mil","3627.5mil","3275mil","T","360.00","10K"
"R124","0603R","3450mil","3275mil","3450mil","3275mil","3422.5mil","3275mil","T","180.00","10K"
"R125","0603R","3450mil","3375mil","3450mil","3375mil","3422.5mil","3375mil","T","180.00","10K"
"R126","0603R","3450mil","2875mil","3450mil","2875mil","3422.5mil","2875mil","T","180.00","10K"
"R127","0603R","3600mil","2775mil","3600mil","2775mil","3627.5mil","2775mil","T","360.00","10K"
"R128","0603R","3450mil","2775mil","3450mil","2775mil","3477.5mil","2775mil","T","0.00","10K"
"R129","0603R","3450mil","2975mil","3450mil","2975mil","3477.5mil","2975mil","T","360.00","0"
"R13","0603R","4100mil","6350mil","4100mil","6350mil","4127.5mil","6350mil","T","360.00","240"
"R130","0603R","3600mil","2975mil","3600mil","2975mil","3572.5mil","2975mil","T","180.00","0"
"R131","0603R","2750mil","2950mil","2750mil","2950mil","2750mil","2922.5mil","T","270.00","0"
"R132","0603R","2675mil","2950mil","2675mil","2950mil","2675mil","2922.5mil","T","270.00","0"
"R133","0603R","2300mil","1475mil","2300mil","1475mil","2300mil","1502.5mil","T","90.00","4K7"
"R134","0603R","2225mil","1475mil","2225mil","1475mil","2225mil","1502.5mil","T","90.00","4K7"
"R135","0603R","750mil","1475mil","750mil","1475mil","777.5mil","1475mil","T","360.00","0"
"R136","0603R","750mil","1775mil","750mil","1775mil","722.5mil","1775mil","T","180.00","0"
"R137","0603R","751.159mil","1370mil","751.159mil","1370mil","778.659mil","1370mil","T","360.00","0"
"R138","0603R","750mil","1675mil","750mil","1675mil","722.5mil","1675mil","T","180.00","4K7"
"R139","0603R","2925mil","5025mil","2925mil","5025mil","2952.5mil","5025mil","T","360.00","0"
"R14","0603R","4325mil","6350mil","4325mil","6350mil","4352.5mil","6350mil","T","360.00","240"
"R140","0603R","2650mil","6175mil","2650mil","6175mil","2650mil","6202.5mil","T","90.00","0"
"R141","0603R","3225mil","4625mil","3225mil","4625mil","3197.5mil","4625mil","T","180.00","0"
"R142","0603R","3225mil","4325mil","3225mil","4325mil","3252.5mil","4325mil","T","360.00","0"
"R143","0603R","2550mil","6175mil","2550mil","6175mil","2550mil","6147.5mil","T","270.00","0"
"R144","0603R","2450mil","6175mil","2450mil","6175mil","2450mil","6147.5mil","T","270.00","0"
"R145","0603R","3075mil","4425mil","3075mil","4425mil","3102.5mil","4425mil","T","360.00","100K"
"R146","0603R","3275mil","6175mil","3275mil","6175mil","3275mil","6202.5mil","T","90.00","3K3"
"R147","0603R","2375mil","4100mil","2375mil","4100mil","2375mil","4072.5mil","T","270.00","0"
"R148","0603R","1075mil","2975mil","1075mil","2975mil","1075mil","2947.5mil","T","270.00","1K5"
"R149","0603R","3225mil","4525mil","3225mil","4525mil","3252.5mil","4525mil","T","360.00","4K7"
"R150","0603R","2825mil","2950mil","2825mil","2950mil","2825mil","2922.5mil","T","270.00","10K(1%)"
"R151","0603R","2950mil","1550mil","2950mil","1550mil","2977.5mil","1550mil","T","360.00","20K(1%)"
"R152","0603R","2050mil","2775mil","2050mil","2775mil","2050mil","2802.5mil","T","90.00","10K"
"R153","0603R","2150mil","2775mil","2150mil","2775mil","2150mil","2747.5mil","T","270.00","30K"
"R154","0603R","2900mil","2950mil","2900mil","2950mil","2900mil","2977.5mil","T","90.00","0"
"R155","0603R","2475mil","4100mil","2475mil","4100mil","2475mil","4127.5mil","T","90.00","47"
"R156","0603R","3000mil","4025mil","3000mil","4025mil","3000mil","4052.5mil","T","90.00","1(1%)"
"R157","0603R","3000mil","4200mil","3000mil","4200mil","3000mil","4227.5mil","T","90.00","1K(1%)"
"R158","0603R","2250mil","2775mil","2250mil","2775mil","2250mil","2747.5mil","T","270.00","15K"
"R159","0603R","2975mil","2950mil","2975mil","2950mil","2975mil","2977.5mil","T","90.00","0"
"R160","0603R","2925mil","1275mil","2925mil","1275mil","2925mil","1302.5mil","T","90.00","10K"
"R161","0603R","1975mil","4100mil","1975mil","4100mil","1975mil","4072.5mil","T","270.00","0"
"R162","0603R","2700mil","5800mil","2700mil","5800mil","2700mil","5827.5mil","T","90.00","0"
"R163","0603R","3100mil","1550mil","3100mil","1550mil","3127.5mil","1550mil","T","360.00","0"
"R164","0603R","2775mil","1450mil","2775mil","1450mil","2747.5mil","1450mil","T","180.00","10K"
"R165","0603R","2275mil","4100mil","2275mil","4100mil","2275mil","4127.5mil","T","90.00","0"
"R166","0603R","1700mil","2950mil","1700mil","2950mil","1700mil","2977.5mil","T","90.00","0"
"R167","0603R","2925mil","4825mil","2925mil","4825mil","2897.5mil","4825mil","T","180.00","0"
"R168","0603R","2925mil","4925mil","2925mil","4925mil","2897.5mil","4925mil","T","180.00","0"
"R169","0603R","2925mil","4625mil","2925mil","4625mil","2897.5mil","4625mil","T","180.00","0"
"R2","0603R","2225mil","5500mil","2225mil","5500mil","2225mil","5472.5mil","T","270.00","2K2"
"R30","0603R","2625mil","5800mil","2625mil","5800mil","2625mil","5772.5mil","T","270.00","0"
"R31","0603R","3025mil","5800mil","3025mil","5800mil","3025mil","5827.5mil","T","90.00","4.87K"
"R32","0603R","2100mil","5800mil","2100mil","5800mil","2100mil","5827.5mil","T","90.00","10K"
"R33","0603R","4050mil","4150mil","4050mil","4150mil","4022.5mil","4150mil","T","180.00","680"
"R34","0603R","3900mil","3725mil","3900mil","3725mil","3927.5mil","3725mil","T","360.00","47K"
"R35","0603R","3900mil","3800mil","3900mil","3800mil","3872.5mil","3800mil","T","180.00","0"
"R36","0603R","3900mil","4250mil","3900mil","4250mil","3927.5mil","4250mil","T","360.00","0"
"R37","0603R","3175mil","1450mil","3175mil","1450mil","3147.5mil","1450mil","T","180.00","10K"
"R38","0603R","3900mil","4350mil","3900mil","4350mil","3927.5mil","4350mil","T","360.00","0"
"R39","0603R","4050mil","4050mil","4050mil","4050mil","4022.5mil","4050mil","T","180.00","330"
"R40","0603R","4050mil","3575mil","4050mil","3575mil","4077.5mil","3575mil","T","360.00","10K"
